project_name,requirement_id,expected_implemented,predicted_implemented,predicted_status,outcome
participium-lmstudio-quicktest,PT01,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT02,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT03,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT04,True,False,not_implemented,false_negative
participium-lmstudio-quicktest,PT05,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT06,True,False,not_implemented,false_negative
participium-lmstudio-quicktest,PT07,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT08,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT09,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT10,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT11,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT12,False,False,not_implemented,true_negative
participium-lmstudio-quicktest,PT13,False,False,not_implemented,true_negative
participium-lmstudio-quicktest,PT14,False,False,not_implemented,true_negative
participium-lmstudio-quicktest,PT15,True,False,not_assessable,false_negative
participium-lmstudio-quicktest,PT16,False,False,not_implemented,true_negative
participium-lmstudio-quicktest,PT17,False,False,not_implemented,true_negative
participium-lmstudio-quicktest,PT18,False,True,implemented,false_positive
participium-lmstudio-quicktest,PT19,False,False,not_assessable,true_negative
participium-lmstudio-quicktest,PT20,False,False,not_implemented,true_negative
participium-lmstudio-quicktest,PT21,False,False,not_implemented,true_negative
participium-lmstudio-quicktest,PT22,False,False,not_assessable,true_negative
participium-lmstudio-quicktest,PT23,False,False,not_implemented,true_negative
participium-lmstudio-quicktest,PT24,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT25,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT26,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT27,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT28,True,True,implemented,true_positive
participium-lmstudio-quicktest,PT29,False,True,implemented,false_positive
participium-lmstudio-quicktest,PT30,True,False,not_implemented,false_negative
